网络类型,授权方向,授权策略,IP协议,端口范围,优先级,源IP地址段,源IPv6地址段,源安全组,源端安全组名称,源安全组所属阿里云账户ID,源端端口范围,目标IP地址段,目的IPv6地址段,目标安全组,目的端安全组名称,目标安全组所属阿里云账户ID,描述信息,创建时间（UTC）,,,所属安全组,所属安全组名称
intranet,ingress,Accept,ALL,-1/-1,1,47.99.171.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,118.31.118.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.97.118.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,118.31.165.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,118.31.246.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.55.12.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.97.7.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.97.27.142,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.97.73.210,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,121.43.162.118,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,121.43.185.141,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,121.196.211.16,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,121.196.246.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,101.37.12.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,101.37.13.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,101.37.15.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,101.37.25.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.96.39.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,118.31.184.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.26.117.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.26.118.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.55.192.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.55.193.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.55.194.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.55.241.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,121.40.125.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,114.55.89.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,115.29.198.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,118.178.120.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,118.178.121.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.26.106.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.26.116.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,101.37.14.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,100.104.216.192/26,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,10.151.12.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,11.115.103.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,100.104.61.128/26,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.102.234.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.101.109.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,100.104.52.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.55.129.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.102.181.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,TCP,8080/8080,1,0.0.0.0/0,,,,,,,,,,,tomcat,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,TCP,6379/6379,1,127.0.0.1/32,,,,,,,,,,,redis,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,TCP,443/443,1,0.0.0.0/0,,,,,,,,,,,caishen用,2024-12-25T06:36:04Z,,,,
intranet,ingress,Accept,TCP,80/80,1,0.0.0.0/0,,,,,,,,,,,,2024-12-25T06:36:04Z,,,,
